"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc01g005000.3",4496.05232181299,1.09719580776875,0.313072912511878,3.50460152865228,0.000457291165260712,0.0115280270712814
"Solyc01g005340.3",540.376944106274,0.52013987940027,0.170624565359894,3.04844661906186,0.0023002777636722,0.0362570019128406
"Solyc01g005390.3",16.4785747787331,-1.85885261292963,0.471053842373692,-3.94615741496274,7.94154133931579e-05,0.00287540425470711
"Solyc01g005410.4",1181.71130130374,1.37296624988023,0.394738835793252,3.47816359928501,0.000504861691439399,0.0125485785916511
"Solyc01g005440.4",18526.1791194881,1.80444969273767,0.283689968941364,6.36063974863572,2.00915164243838e-10,2.89507891396222e-08
"Solyc01g005450.3",185.569591210335,1.25100457365805,0.245213471663722,5.10169594341718,3.36623257979517e-07,2.53668819776366e-05
"Solyc01g005530.3",253.208115708729,-0.481505318766792,0.118560053373354,-4.06127785090056,4.88048448847963e-05,0.00188895121962462
"Solyc01g005720.3",801.375789089935,1.0831031876805,0.238530275388146,4.54073675099746,5.60579904822294e-06,0.000305752609980569
"Solyc01g005870.3",2679.18872571623,2.55983729079066,0.306767371024259,8.34455529688075,7.14823537322056e-17,2.03257690092402e-14
"Solyc01g005880.1",140.964868780331,3.38187898433822,0.816798143899718,4.14040973231378,3.46686016406273e-05,0.00141365697626772
"Solyc01g005980.4",396.577147094426,1.04216641087842,0.278278352869791,3.74505023524436,0.000180357683634219,0.00557435936403383
"Solyc01g006220.3",165.028348071632,-0.704515814091027,0.211222463850978,-3.33542086976165,0.000851703895185312,0.0185657530348443
"Solyc01g006380.2",313.918943946627,-1.03543478881328,0.340029498432167,-3.04513224172474,0.00232578021492252,0.0364702859289982
"Solyc01g006390.2",32.5903957523921,3.54507075850554,1.20172107981136,2.94999465188878,0.0031777943019949,0.0447915672731944
"Solyc01g006400.4",25488.2454563744,3.64635770706686,0.319787907506235,11.4024252370949,4.06630973519927e-30,3.94173279149362e-27
"Solyc01g006540.4",610.30021831151,-2.19856285816789,0.72430954195668,-3.03539126687272,0.00240223824387313,0.0373125511936186
"Solyc01g006890.3",782.495321047764,-0.565960766831481,0.173080243769524,-3.26993280403002,0.00107573034740467,0.0216598098180603
"Solyc01g006900.3",4479.09281157558,1.16901164444718,0.194881710760189,5.99857031163739,1.99062325059721e-09,2.28236728184065e-07
"Solyc01g007020.4",122.370570614491,0.941820613552716,0.264609530242574,3.55928455293853,0.000371866451226246,0.0098392356561426
"Solyc01g007100.3",3232.83957726742,-0.548213428156118,0.152014592544307,-3.60632107076386,0.000310568833115938,0.00854605281939419
"Solyc01g007190.3",135.136862756707,1.07135209849549,0.284515506685896,3.76553148534802,0.000166195177884461,0.00519688909613493
"Solyc01g007810.1",108.262776644416,-2.22443749784826,0.747816507178856,-2.97457661939019,0.00293393175677178,0.0423622401116553
"Solyc01g007890.3",674.855211368439,-0.510768891920014,0.159713835754627,-3.19802532765366,0.00138372126684331,0.0258852980146495
"Solyc01g007950.4",1328.02402707733,2.15213530934009,0.199186699961853,10.8046135095981,3.27332555288166e-27,2.73225768322115e-24
"Solyc01g008100.3",835.501176306057,0.610283673218282,0.142449878319887,4.28419932973071,1.83398437346729e-05,0.000825431425904202
"Solyc01g008110.4",18186.0638360409,1.15249933309803,0.245053850513454,4.70304519061111,2.56309660603222e-06,0.000152257933761123
"Solyc01g008770.3",2316.46603074163,-0.408026105295165,0.135882970747441,-3.00277586698882,0.00267529381545156,0.0398695429128721
"Solyc01g008810.3",449.667492665294,-0.515273982268844,0.124832255516221,-4.12773109111921,3.66360183993461e-05,0.00147693710469651
"Solyc01g009200.4",77.9246091238243,-1.49114235476801,0.485603540534115,-3.07069909977985,0.00213558250061722,0.0344764817624245
"Solyc01g009220.3",54.5782709140919,-1.55992001973027,0.523255843075836,-2.98118031623049,0.00287139667189531,0.0416722337976562
"Solyc01g009330.1",5.79686790759433,4.49756637490113,1.50004129740517,2.99829503539749,0.00271494706009938,0.040227000759623
"Solyc01g009565.1",1325.5679195981,0.798543902730445,0.245769496778965,3.24915790281584,0.0011574720762328,0.0227924741438048
"Solyc01g010030.3",486.405350033198,-0.708588484504235,0.226919169799313,-3.12264708676182,0.00179232522225021,0.0308251029755709
"Solyc01g010050.3",1744.96275768815,0.620063537056384,0.153269723131755,4.04557093460238,5.21957572655708e-05,0.0020136968100358
"Solyc01g010250.4",793.31643477402,2.45966556222815,0.368080839083836,6.68240587679144,2.35050930869916e-11,3.74081802368047e-09
"Solyc01g010270.3",1290.89451207655,0.65453083448631,0.221548867089749,2.95434069731063,0.00313337876493467,0.0443413639953529
"Solyc01g010280.3",5.26594024743191,4.73139324460324,0.977244052088312,4.84156770715825,1.28818767666181e-06,8.53164297903408e-05
"Solyc01g010410.3",12.4006355441805,-1.67257946450549,0.528944893370738,-3.16210532603285,0.00156632899671171,0.028308078121927
"Solyc01g010640.3",3098.860831533,-0.860838046712557,0.269272101529741,-3.19690767005611,0.00138909382119013,0.0259402931967607
"Solyc01g011040.3",1645.82958000599,0.333247531425765,0.110907369711157,3.00473748763191,0.00265810155833772,0.0398633160968324
"Solyc01g014105.1",440.655366759351,-0.617124019332138,0.166424891281616,-3.70812331364467,0.000208800975950571,0.00622781764072989
"Solyc01g020440.3",300.689028983972,0.549121039820231,0.154060573465593,3.564319069232,0.000364801983665701,0.00967632724335167
"Solyc01g049820.2",9.61842919388733,-2.43331028580782,0.734962690517848,-3.31079429908657,0.000930315682028461,0.0197608687598994
"Solyc01g049830.2",3.18742084463012,-4.30397760668131,1.36432566540062,-3.15465560447219,0.00160687664391446,0.0287990469126217
"Solyc01g058260.4",3803.8101755697,0.955151080503773,0.179080148962574,5.33365136245999,9.62572542369726e-08,8.27734759620031e-06
"Solyc01g058320.4",818.196748043342,0.945401066420761,0.245668957203921,3.84827239542527,0.000118953744072625,0.00396677113241271
"Solyc01g066020.3",3.99908485198317,-5.31755867215207,1.60037357716906,-3.32269836743894,0.000891512584567377,0.0191657231637942
"Solyc01g066680.3",856.631252196438,1.12589427438058,0.326832332945317,3.44486808950128,0.000571338138046557,0.0137520960857572
"Solyc01g066860.3",312.650079190112,-1.4177494976245,0.403790742316228,-3.51109955986606,0.000446257232333425,0.011381203035893
"Solyc01g066980.3",73.3221881686928,2.38687283720698,0.723903764398191,3.29722396068942,0.00097645605148114,0.0203557201895277
"Solyc01g067295.1",1908.02167496332,-1.89256861362609,0.634740824290549,-2.98163997209635,0.00286708949108934,0.0416722337976562
"Solyc01g067890.4",5818.02953771829,-1.20823016416452,0.349164559078533,-3.46034593932761,0.000539481834069545,0.0131485595352767
"Solyc01g067930.4",2066.09736830233,0.448646677465147,0.130284230787121,3.44359923495436,0.000574025893541864,0.0137856714027858
"Solyc01g079240.3",2539.85351080691,-1.39003575064514,0.390844782289262,-3.55649048838108,0.000375842081441058,0.00993210437275342
"Solyc01g079260.4",402.175559291519,0.723890576323918,0.219901615571814,3.29188384742683,0.000995187049218546,0.0206016959425484
"Solyc01g079360.4",943.255597132667,1.56831637718505,0.165911982040627,9.45270111233444,3.30197741196191e-21,1.63762721598836e-18
"Solyc01g079460.2",21.9624389710628,-1.79550335445562,0.593283834834881,-3.02638172326966,0.00247499629411742,0.038082085835749
"Solyc01g079580.3",521.162224949119,-0.840199866788938,0.288224027987194,-2.91509307067997,0.00355582484201138,0.0484546457384886
"Solyc01g079640.4",128.5872116487,-0.428816063439866,0.145950541715085,-2.93809161926218,0.00330239415263046,0.0460908754574588
"Solyc01g079650.3",389.483393437259,-0.36430653952659,0.120055128956577,-3.03449375876609,0.00240939740667957,0.0373693157053444
"Solyc01g079780.3",1528.44360662081,0.573545905252891,0.182553676724965,3.14179322784605,0.00167916574529029,0.02953664753487
"Solyc01g080270.3",1186.59184754371,0.418641475889794,0.137887047845832,3.0361189279929,0.00239644820058231,0.0372672702299151
"Solyc01g080290.3",172.746142630965,-1.10870303363244,0.376776443291955,-2.94260178249342,0.00325466776752359,0.0456939070508282
"Solyc01g080490.2",93.35085716563,-1.27358399047519,0.319669946168046,-3.9840592015043,6.77479832342835e-05,0.00249102325940402
"Solyc01g080510.3",3262.78068937836,-0.591809467767901,0.154155536616337,-3.839041274533,0.000123515667682236,0.00409020982762635
"Solyc01g080640.3",7987.98753992099,1.07301251170978,0.178816676854435,6.00062885959606,1.96554793476512e-09,2.27811278569571e-07
"Solyc01g080890.2",533.847679101633,0.719836020994436,0.218239507324783,3.29837631058788,0.00097245712936879,0.0203120673270507
"Solyc01g080910.2",2376.0076485706,2.75201074721599,0.248784390947828,11.0618304336992,1.92135903562112e-28,1.78151751276765e-25
"Solyc01g081250.3",107.376274519093,-8.68547451540356,2.831614056694,-3.06732285597711,0.00215985435745494,0.0347630596430823
"Solyc01g073710.2",262.956507923957,1.10756768126586,0.226427079985759,4.89149831961584,1.00071248239849e-06,6.75354253152855e-05
"Solyc01g086660.2",86.8182157671063,2.59038866986985,0.536058416658074,4.83228802938867,1.3497278866494e-06,8.88404225638431e-05
"Solyc01g086670.3",241.63964302681,2.42659588015382,0.674653301705069,3.59680427564946,0.000322150696832339,0.00877418360235819
"Solyc01g086720.3",159.32689753035,-1.50033076806753,0.300436032909073,-4.9938442920447,5.91891239401063e-07,4.26441640927941e-05
"Solyc01g087420.4",841.46125329479,-0.667185320142247,0.166722619247097,-4.00176846522199,6.28708059707759e-05,0.00235263277925332
"Solyc01g087450.3",374.79947763537,1.16981622400296,0.316701397203328,3.69375138326882,0.000220969852544231,0.00654500427133092
"Solyc01g087560.3",1137.04799748625,-0.6192341076222,0.189887887182706,-3.26105112237299,0.00111000025783449,0.0220819640844946
"Solyc01g087640.3",1134.98378573163,0.480818356848802,0.133630606196718,3.5981155106113,0.000320531265023269,0.00877418360235819
"Solyc01g088050.3",1390.94404367362,-0.473810300910605,0.151873981343515,-3.11975953167989,0.00180998733930155,0.030978964685349
"Solyc01g088090.3",11491.0918635996,1.07044508990274,0.27476073394982,3.89591727505809,9.78277777232875e-05,0.00338681036968641
"Solyc01g088430.4",410.473102021566,-3.41366368745777,0.940423918865468,-3.62992010196427,0.000283508962587122,0.00802936538663077
"Solyc01g088660.3",856.067806721195,0.601200102106537,0.203186776039382,2.9588544777639,0.0030878487903424,0.0439595883196542
"Solyc01g088710.3",368.160061436502,0.484972202147084,0.162870485412978,2.97765553358166,0.00290462228949457,0.0419986841482669
"Solyc01g088770.3",260.241628920471,0.481722851396577,0.15412085959013,3.12561747110465,0.00177432188305496,0.0306390190105507
"Solyc01g088790.2",49.5262180075236,3.13763054353196,0.462004062939468,6.79134837812683,1.11090298344471e-11,1.80848221564443e-09
"Solyc01g090210.4",75.9382515540215,1.0344488688446,0.256593112501352,4.03147558701192,5.54277548084145e-05,0.00212217647943312
"Solyc01g090560.4",430.508306992454,2.093503036503,0.280992194729438,7.45039568988311,9.30606941391604e-14,2.02511465633851e-11
"Solyc01g090710.3",110.563919610893,-1.2604711395929,0.286725591380284,-4.39608872554783,1.10218896007837e-05,0.000541596353977682
"Solyc01g090740.3",463.230416878099,1.56845078953724,0.314520256383813,4.98680373585616,6.13863677702924e-07,4.39303919150757e-05
"Solyc01g090950.4",1148.96163700505,-0.460443638366368,0.140210604991755,-3.28394302551824,0.00102365614394926,0.0209304802740765
"Solyc01g091130.4",850.442266280044,-0.637440995519898,0.150452290086431,-4.23683145769136,2.26696171818305e-05,0.000994757728435634
"Solyc01g091170.3",37957.8130097665,6.8800575103842,0.479520105235474,14.3477977988132,1.09974194816331e-46,5.8632741966327e-43
"Solyc01g091320.3",7888.3348194137,1.83056360928195,0.455323535020486,4.02035798391047,5.81097714291071e-05,0.00220506936921199
"Solyc01g091630.3",2451.34742340799,-0.584701972620988,0.133383069675803,-4.38362960188386,1.16718157995844e-05,0.000567000327430379
"Solyc01g091660.3",83.7670650942138,-3.67689054919503,1.06560010678499,-3.45053507951359,0.000559476452536108,0.0134975986912866
"Solyc01g091670.3",89.9948600833473,-2.45699794481707,0.774576636499455,-3.17205274344574,0.00151365513695606,0.0276608478583761
"Solyc01g094020.3",567.373715430077,-0.818872595741429,0.259573811525114,-3.15468109409875,0.00160673627566851,0.0287990469126217
"Solyc01g094090.4",129.682346872265,-3.08001402298421,0.828659435132245,-3.71686351763155,0.000201711336679366,0.00607584175992113
"Solyc01g094220.3",287.139919134464,0.675290682059745,0.209048431282878,3.23030734034048,0.001236572128756,0.0240612565856301
"Solyc01g094240.3",114.852972312735,2.02677413098027,0.337279531723601,6.00918211853188,1.86461575979161e-09,2.19695003830474e-07
"Solyc01g094350.4",1327.69545504559,0.217471013838281,0.068989897425319,3.15221535259842,0.00162036719806281,0.028989891666013
"Solyc01g094480.4",1755.0213986808,-0.415012362358055,0.084002379349503,-4.94048341930104,7.79291197843379e-07,5.48487263538215e-05
"Solyc01g094550.3",2055.27112239771,0.803475042226982,0.183683449674354,4.37423754644981,1.21857630052271e-05,0.000585300860021338
"Solyc01g094870.3",173.68927141825,4.09335775574578,0.473483113947891,8.64520325047173,5.37096074016484e-18,1.66001606876457e-15
"Solyc01g095150.3",503.475781789573,0.908203503401991,0.294569795021462,3.08315217225792,0.00204820390668531,0.0335999973184392
"Solyc01g095690.2",142.712853043945,-1.87295795855674,0.534274269634327,-3.5056113779139,0.000455559852650128,0.0115109827222946
"Solyc01g095800.3",929.146046496693,-0.416188558984442,0.125114395715453,-3.32646420585348,0.000879553155342758,0.0190044078934546
"Solyc01g096260.4",35.6964733813263,-2.16741002103016,0.696859433897338,-3.11025425731621,0.0018692636387787,0.0315878893507088
"Solyc01g096270.3",1937.23763213391,0.730068745180704,0.200965007599808,3.63281525425824,0.000280345743235275,0.00796092319605256
"Solyc01g096360.3",2049.95205137181,-0.688970216273759,0.225624119915315,-3.05361951786163,0.002260986388816,0.035823028029636
"Solyc01g096370.4",1501.04013919514,1.06375777495815,0.150187981087337,7.08284223049481,1.41227432960712e-12,2.64194406607031e-10
"Solyc01g096380.1",10.9402832287135,4.9080462229406,1.18951518287005,4.12608959819958,3.6898356112002e-05,0.00148191024942477
"Solyc01g096400.4",1219.87014243799,1.93645058060979,0.253892457578833,7.62705044126224,2.40185631987278e-14,5.82068044063715e-12
"Solyc01g096700.4",3192.32525035239,-0.596587308104061,0.18605213470137,-3.20655986593025,0.00134332350704943,0.0254192465370196
"Solyc01g096960.3",214.451832321055,-1.52873432646239,0.449964401379506,-3.39745615825514,0.000680154855093554,0.0156135440685954
"Solyc01g097120.3",2608.16741759957,0.734310259342143,0.15483593916052,4.7425052821934,2.11091323210088e-06,0.000129099139927513
"Solyc01g097510.4",733.130474413243,2.16042454046356,0.340797113162198,6.33932758531124,2.30770101156404e-10,3.25920740215992e-08
