"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc01g005010.4",487.200690107385,-1.77699946616237,0.408575769026042,-4.34925318845598,1.3660192748242e-05,0.000186986759026186
"Solyc01g005040.3",15.9552442001732,-2.4115672320475,0.7275079173378,-3.3148329723644,0.000916978979084824,0.0065949854495764
"Solyc01g005080.3",1861.53119519197,-0.981651802963734,0.158296502346419,-6.20134866161142,5.59813366302242e-10,2.20604934511003e-08
"Solyc01g005100.4",506.273572957901,-0.715353157475488,0.14806751746986,-4.83126326218781,1.35669469845315e-06,2.50284397318177e-05
"Solyc01g005110.3",175.712415861509,0.486232791811647,0.158763069757051,3.06263158400571,0.0021939999221052,0.0134226968844797
"Solyc01g005120.3",1108.45788757908,-1.72246426749968,0.214851546994725,-8.0169972783206,1.08361521714172e-15,1.15755602019374e-13
"Solyc01g005330.3",3131.37590286291,-0.289748245866908,0.111762275088443,-2.59254069083343,0.00952699105199904,0.0438740889698147
"Solyc01g005340.3",540.376944106274,0.673139120966969,0.168810327330834,3.98754703939264,6.6759970564355e-05,0.000730337991234149
"Solyc01g005350.4",36.8342870885639,3.09538906531474,0.861548253929494,3.59282147134159,0.000327116714178202,0.00279879365346344
"Solyc01g005370.3",28.4630743939054,0.981409030950209,0.268962083224076,3.64887503541747,0.000263391179822588,0.00232475520076705
"Solyc01g005410.4",1181.71130130374,1.5268244865063,0.392927157779659,3.88576980815996,0.00010200612993749,0.00103729238618655
"Solyc01g005430.3",620.047508854816,0.922338010295256,0.187883480205247,4.90909583582164,9.14972593823117e-07,1.76296045663955e-05
"Solyc01g005440.4",18526.1791194881,1.30975980376431,0.2834500032978,4.62077893288378,3.82301969844791e-06,6.2640034036524e-05
"Solyc01g005450.3",185.569591210335,1.10735056139269,0.234685248307162,4.71844979341592,2.37648600386316e-06,4.10692965869833e-05
"Solyc01g005490.3",759.157293367289,0.276148999470793,0.102248360741401,2.70076700954853,0.00691797823603088,0.0340020742563412
"Solyc01g005550.3",2832.46931248093,-1.00847142785622,0.167780943345395,-6.01064344822625,1.84788416981331e-09,6.72271983782499e-08
"Solyc01g005560.3",5472.46183216402,0.833380673956014,0.170606819891755,4.88480281435859,1.03532413584421e-06,1.97046144701459e-05
"Solyc01g005640.4",553.05977883375,0.358045430915536,0.123342353624957,2.90285875364623,0.00369773368629723,0.0205826340975196
"Solyc01g005710.2",148.757516684654,2.07706075144842,0.379013421329911,5.48017730918412,4.2489980436133e-08,1.13195801181444e-06
"Solyc01g005720.3",801.375789089935,1.91657826754987,0.233482225319362,8.20866883947305,2.23654145650486e-16,2.73812985506482e-14
"Solyc01g005780.1",181.149635663465,1.16648900121495,0.430610092839369,2.70892164538764,0.00675022793186912,0.0332657094281529
