"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc01g005000.3",4496.05232181299,0.828325938814218,0.313128974881241,2.64531871931804,0.00816140043689479,0.0331346184249206
"Solyc01g005010.4",487.200690107385,-1.37836788207087,0.398913234838164,-3.45530747464436,0.000549665592670551,0.00360718045190049
"Solyc01g005080.3",1861.53119519197,-0.731933157351879,0.157283932163512,-4.65357870498153,3.26223001405641e-06,4.43328694217922e-05
"Solyc01g005100.4",506.273572957901,-0.555320696874817,0.148439137821598,-3.74106657465385,0.000183240969475115,0.00142870191962033
"Solyc01g005120.3",1108.45788757908,-1.48610643648321,0.217415158269874,-6.83533957939831,8.18110023365429e-12,3.65685323697077e-10
"Solyc01g005340.3",540.376944106274,0.891863484516878,0.170132582151138,5.24216745105642,1.58701244196476e-07,3.00654442196899e-06
"Solyc01g005370.3",28.4630743939054,1.64951931295229,0.298442331864919,5.52709564573063,3.255754869174e-08,7.18266634170597e-07
"Solyc01g005410.4",1181.71130130374,1.02864840441032,0.39473076208814,2.60594942985626,0.00916199874918633,0.0363669921820413
"Solyc01g005430.3",620.047508854816,1.13550381181748,0.190954653010237,5.94645793604521,2.74006905571002e-09,7.60522907482607e-08
"Solyc01g005440.4",18526.1791194881,2.22301175455866,0.283483750784983,7.8417607654866,4.44272181222803e-15,3.30752466689619e-13
"Solyc01g005490.3",759.157293367289,0.319472841141912,0.105352638640402,3.03241423532221,0.00242606027153441,0.0124261623663958
"Solyc01g005520.4",10737.1682146133,-0.794653031632656,0.305518113943919,-2.60100136576034,0.0092952083928851,0.0367711638218629
"Solyc01g005540.4",996.973494636109,-1.18056354316976,0.375548922011202,-3.14356791878782,0.00166901678984195,0.00910819165037552
"Solyc01g005550.3",2832.46931248093,-0.670748026776588,0.167625000876024,-4.00147963174464,6.29476145839799e-05,0.00057710621937372
"Solyc01g005680.4",20.7747907138546,-1.44076931422409,0.489276446163066,-2.94469379329964,0.00323274425074503,0.0157222825041696
"Solyc01g005690.3",1103.66932503629,0.434321721483409,0.108485555141382,4.00349817003181,6.24126841632872e-05,0.000572939731546177
"Solyc01g005710.2",148.757516684654,1.76884788901115,0.395345777103684,4.47417929178298,7.6705360104609e-06,9.40750036324295e-05
"Solyc01g005720.3",801.375789089935,1.68740745218799,0.235968504136972,7.15098592653073,8.61568243737124e-13,4.40788293444282e-11
"Solyc01g005760.3",2022.51229642508,-1.14997599939228,0.370547288742449,-3.10345274228028,0.00191276780272385,0.0101813035123465
"Solyc01g005840.3",480.022157911134,-0.596511026588643,0.15617353085322,-3.81953986267541,0.000133700852148625,0.00109862715719026
"Solyc01g005870.3",2679.18872571623,2.39159190005234,0.303176274522789,7.88845335545072,3.05954538869046e-15,2.34039451382301e-13
"Solyc01g005880.1",140.964868780331,2.51308842299725,0.606785470455424,4.14164238492896,3.44827701565366e-05,0.00034193156817228
"Solyc01g006130.4",2283.66702548658,-0.777294392895951,0.258361452789641,-3.00855404125951,0.00262494112981195,0.0132376958653407
"Solyc01g006150.3",1190.67104675801,-1.16759082967108,0.253722512823295,-4.60184166031906,4.18771518678882e-06,5.5191557168691e-05
"Solyc01g006240.3",82.7537808323981,-2.07728530584652,0.683507825202831,-3.03915365596595,0.00237243816834871,0.0121992316071708
"Solyc01g006250.2",62.5476406857119,-0.70009151913457,0.265406579423878,-2.63780770112884,0.00834438849887345,0.0337105457422984
"Solyc01g006280.3",3549.67031992667,-0.475587345040712,0.124512862608626,-3.81958405803902,0.000133676900023997,0.00109862715719026
"Solyc01g006290.4",167.871920179679,-2.41015081127362,0.797521467754735,-3.02205132867323,0.00251067971435452,0.0127685013574438
"Solyc01g006320.4",452.903059347496,-2.0180808238922,0.532407911398191,-3.79047865497037,0.000150357253993513,0.00120929000147853
"Solyc01g006330.4",2009.31638440903,-2.04791016964589,0.492195724337538,-4.16076383516381,3.17184953403351e-05,0.000318042210034171
"Solyc01g006390.2",32.5903957523921,3.7513779477173,0.631340508593889,5.9419249939661,2.81694315323507e-09,7.79914858097173e-08
"Solyc01g006400.4",25488.2454563744,2.92405656505174,0.319327367332143,9.15692441108666,5.33974513033746e-20,7.61103300275242e-18
"Solyc01g006430.3",9012.21042637985,0.660217226413738,0.240149604554094,2.74919139525388,0.00597424902703786,0.0257476831252396
"Solyc01g006520.3",650.647355722748,-1.65935879267492,0.271819000262363,-6.10464607357574,1.03028727548153e-09,3.15030147695314e-08
"Solyc01g006670.2",76.2767967783427,-1.83128441809378,0.387467833017129,-4.72628760904862,2.28661720386724e-06,3.2358613450785e-05
"Solyc01g006680.4",392.077213587135,-0.726207365537035,0.190145739684637,-3.81921449695099,0.000133877311901436,0.0010988602370671
"Solyc01g006690.4",1019.23512327686,-0.653487170379348,0.236999903122338,-2.75733095992879,0.00582753354213096,0.0252473524032377
"Solyc01g006720.4",5153.55575982799,1.49789687757521,0.188941895897391,7.92781754655771,2.23030659825911e-15,1.75429769884268e-13
"Solyc01g006740.4",179.600270125709,-0.650137126681669,0.168469266887523,-3.85908444129295,0.000113812610549381,0.00096329608776776
"Solyc01g006790.3",137.774422542777,-1.13874553785704,0.450507236522422,-2.5276964397893,0.0114813574532754,0.0436507287634346
"Solyc01g006810.4",567.319695582841,0.552391966662115,0.14399964365733,3.83606481677564,0.000125021425380891,0.00103842422723083
"Solyc01g006830.3",2736.43255777263,-0.433691768904794,0.148334809697461,-2.92373563420034,0.0034585834464139,0.0165672622158755
"Solyc01g006960.3",1263.66724046764,0.487071970190797,0.119141943479602,4.0881653930229,4.34798125190652e-05,0.000418443850702288
"Solyc01g007020.4",122.370570614491,1.12579307459596,0.267329193571776,4.2112612526686,2.53948850274483e-05,0.000262415547148967
"Solyc01g007030.3",10.6323663099102,2.46803401963956,0.836523773261126,2.9503453440637,0.00317418914246374,0.0154848674800006
"Solyc01g007060.3",384.306984002459,-0.418251980412086,0.162962734361795,-2.56654984374232,0.0102715861717699,0.039868440834106
"Solyc01g007150.3",2721.91972096687,0.547749686446187,0.102249236841243,5.35700513145787,8.46127183899688e-08,1.71850283883276e-06
"Solyc01g007160.4",14.4290415993983,1.10555820880112,0.428364148181523,2.58088407607033,0.00985476673412281,0.0385598712430258
"Solyc01g007263.1",6.2101156062792,7.75210669386352,1.90393018224203,4.07163391082692,4.66845111816071e-05,0.000444291243652234
"Solyc01g007740.4",1291.79484897647,-0.497913540181618,0.179231013702636,-2.77805458941225,0.00546854300713063,0.0240098160431416
"Solyc01g007770.2",371.088506913393,0.857703501245368,0.311821122171319,2.75062669030526,0.00594813859167878,0.0256599932268933
"Solyc01g007790.4",284.902827606443,-0.476734695043565,0.116962146154564,-4.07597424224388,4.58220912353995e-05,0.00043826383242086
"Solyc01g007810.1",108.262776644416,-2.68801864750713,0.874229196519776,-3.07472989715726,0.00210693269486031,0.0110431650076738
"Solyc01g007850.2",540.850025900267,-0.73854717737531,0.175470702174347,-4.20894866335858,2.56561666564001e-05,0.000264278699570322
"Solyc01g007890.3",674.855211368439,-0.614473033505273,0.162285245720718,-3.78637645570528,0.000152860040849573,0.00122442047834166
"Solyc01g150101.1",36.1909530600431,-2.01405483434015,0.694209804865751,-2.90121922828451,0.00371713724313501,0.0176087412283859
"Solyc01g007910.3",1354.78909584693,0.401537440707628,0.148635397570935,2.70149269467253,0.00690289967774279,0.0289086964539659
"Solyc01g007920.2",395.829547219472,-0.318026969992982,0.121233631404329,-2.62325698165653,0.00870935529822739,0.0349127046530779
"Solyc01g007950.4",1328.02402707733,3.31613358647355,0.188577731230248,17.5849691521882,3.21156198966752e-69,2.3829789963333e-65
"Solyc01g007960.3",72.5206956212958,-2.26569201273673,0.719122323023667,-3.1506350730572,0.00162915905702949,0.00892129904292166
"Solyc01g007980.4",1616.3455213595,0.958541217282506,0.316520145103387,3.02837349252892,0.0024587399863406,0.0125617516860091
"Solyc01g007990.4",713.482272953726,-0.996062010858198,0.348999578463002,-2.85404932362631,0.00431658289037215,0.0199557913062687
"Solyc01g008000.3",4442.74629150598,0.428043010851164,0.109392334026894,3.91291597038173,9.11882725921309e-05,0.000795396139459575
"Solyc01g008010.3",1604.95383044724,0.652108935372732,0.141487648772927,4.60894601774957,4.04715386919062e-06,5.34974139716052e-05
"Solyc01g008020.4",1086.49649246221,-0.185656531212172,0.0684916682195669,-2.71064402486159,0.00671526774299039,0.0283002385382367
"Solyc01g008070.3",2039.71883395659,0.619036654263837,0.184365267620455,3.35766417532732,0.000786040485782453,0.00487388891741432
"Solyc01g008110.4",18186.0638360409,1.96409562331118,0.245104886620886,8.01328627261982,1.11683266943522e-15,9.34612602316841e-14
"Solyc01g008140.4",795.887754200758,-0.343478114958225,0.124237259948387,-2.76469486771457,0.00569760644823425,0.0248051475724026
"Solyc01g008220.3",26.9707244513109,-1.03317642759021,0.307013541106185,-3.36524709583697,0.000764751389628024,0.00476311301989922
"Solyc01g008230.4",1638.01891751233,0.613642979185993,0.135252740720599,4.53700957124142,5.70575180227184e-06,7.25771629248978e-05
"Solyc01g008250.3",3588.49727780466,-1.12164674239822,0.293359690429338,-3.82345216125865,0.000131596133516641,0.00108493701188164
"Solyc01g008500.4",176.534236183864,-1.74127340300039,0.63432347205161,-2.7450874509949,0.00604947748135332,0.026026549813476
"Solyc01g008780.3",2667.64061423546,-0.697365452192331,0.198105042025772,-3.5201802289394,0.000431253651450678,0.00295570914465702
"Solyc01g008790.4",738.192431059963,-0.681358714032965,0.263530407107919,-2.58550321198396,0.00972369668265939,0.0381812468082551
"Solyc01g008820.3",1666.23209980704,1.13768110885907,0.125743230853701,9.04765291248745,1.46074241602173e-19,1.97067431397841e-17
"Solyc01g008830.2",209.934171419068,-1.6139064786294,0.324341001428507,-4.97595577346438,6.492647143373e-07,1.05647898692605e-05
"Solyc01g008920.4",2765.46740456124,-0.872683172953499,0.182095960272359,-4.79243565671768,1.64768623821231e-06,2.43380860402164e-05
"Solyc01g008930.4",1155.88440170835,-1.00352249371887,0.180537426822536,-5.55852884014633,2.72058009420621e-08,6.06207336306609e-07
"Solyc01g008950.4",3974.8633120965,0.46495271176407,0.15327525470112,3.03344928488756,0.00241775345807821,0.0124007354785302
"Solyc01g009010.3",1999.01438940627,0.632274525490314,0.190478903494126,3.31939397955329,0.00090213053380734,0.00545690915286723
"Solyc01g009145.1",99.5034515392977,0.65184968631823,0.26358321069876,2.47303189224448,0.0133972186752537,0.049579731955303
"Solyc01g009245.1",541.861930303966,-0.862744696050561,0.287564649847332,-3.00017646991239,0.00269823230143828,0.0135367705724625
"Solyc01g009260.1",14.9529238385938,-2.03904618398761,0.701710875830777,-2.90582097872363,0.00366290949432488,0.0173888601713951
"Solyc01g009300.3",1185.99379231769,0.684475449754768,0.111194264603711,6.15567225696569,7.47596869598674e-10,2.36049734996688e-08
"Solyc01g009420.4",5692.7792582944,0.633921805773566,0.125168559929783,5.06454501137652,4.09376906229737e-07,7.03142741718668e-06
"Solyc01g009430.3",1614.72219509489,-0.673195909859975,0.263278306571821,-2.55697447551126,0.0105586964790323,0.0407554332622261
"Solyc01g009670.4",350.00296832253,-1.94860503124656,0.292022776836554,-6.67278440522879,2.50994993253408e-11,1.04432683174222e-09
"Solyc01g009690.3",418.076517701317,-1.47757104184949,0.571803233055677,-2.58405506725355,0.00976462024785812,0.0382946523462512
"Solyc01g009770.3",88.6540932209035,1.2916345462801,0.325290572321281,3.97071005489944,7.1658744983979e-05,0.000646060616988
"Solyc01g009810.3",108.404991462941,-2.91318442866876,0.830176238205897,-3.50911564870186,0.000449599362298518,0.00305836176099307
"Solyc01g010000.3",1340.21054541422,-0.968747832899861,0.17665886850355,-5.48372035384339,4.16472942630273e-08,9.00941467730795e-07
"Solyc01g010020.3",92.1626670533271,-1.47212895557096,0.35411465341288,-4.15720993577335,3.22157922470718e-05,0.000322592683499693
"Solyc01g010050.3",1744.96275768815,-0.433777027154843,0.153029063002015,-2.83460552293346,0.00458823022298589,0.0209591637109924
"Solyc01g010180.3",2255.30515220394,-0.889893944024985,0.303337104756218,-2.93367982377284,0.00334969552776989,0.0161640230360986
"Solyc01g010185.1",1525.71565437943,-1.75440066164135,0.362569414645175,-4.83879938785866,1.306258133122e-06,1.97670333401059e-05
"Solyc01g010215.1",340.59980434447,-0.810321778314002,0.17412509879703,-4.65367591411137,3.26069167238145e-06,4.43328694217922e-05
"Solyc01g010230.2",370.45504830488,-1.19431712327676,0.327400526184903,-3.64787783695331,0.000264415299773044,0.00195479394651211
"Solyc01g010250.4",793.31643477402,3.24225166266762,0.363013895246063,8.93148087477455,4.20343729092772e-19,5.40858462982954e-17
"Solyc01g010270.3",1290.89451207655,0.586355964986797,0.221941599124554,2.64193809227144,0.00824331218402857,0.0333568676997775
"Solyc01g010280.3",5.26594024743191,-3.28584457051249,1.10467881714207,-2.97447956774742,0.00293486000434269,0.0145274591275669
"Solyc01g010390.3",343.264915458245,-1.36789698054669,0.253644872771365,-5.39296129111866,6.93058870471082e-08,1.42847133858206e-06
"Solyc01g010460.4",308.122137828932,-1.24606254994875,0.394677114641686,-3.15716950317731,0.00159308712121712,0.00876040496993407
"Solyc01g010470.2",274.309450214834,-0.90580160783794,0.347828298434426,-2.60416306526798,0.00920989265493123,0.0365245342060875
"Solyc01g010520.3",1004.49021997096,-0.498863416427046,0.105302911665646,-4.73741332064035,2.16463393401095e-06,3.08876611353102e-05
"Solyc01g010590.2",343.395747381751,0.66446065326981,0.137689125361178,4.82580342875181,1.39439990051228e-06,2.09867084417872e-05
"Solyc01g010640.3",3098.860831533,-0.7337043385873,0.269814171610453,-2.71929504001959,0.00654212251930923,0.0276648266109087
"Solyc01g010650.3",575.012913571981,1.51112099130192,0.109894572396966,13.7506426235809,5.0479146284001e-43,6.60979880165801e-40
"Solyc01g010660.3",348.690678135036,0.365223849607893,0.113879666402882,3.20710326210308,0.00134078858452164,0.00759245837991651
"Solyc01g010700.3",406.999844125599,-0.522472118698877,0.199462281822226,-2.61940309679471,0.00880837943905265,0.0352398501641467
"Solyc01g010710.4",175.963644461195,-1.21075503567261,0.303318730074255,-3.99169228809645,6.56034628612232e-05,0.000596953565274718
"Solyc01g010750.4",4062.39225544385,0.4308745882805,0.120007310771278,3.5904028305551,0.000330167299952359,0.00236015545823363
"Solyc01g010860.3",400.77764453782,-0.594219521769566,0.155235161100942,-3.82786681545151,0.000129258663291511,0.00107042330538283
"Solyc01g010940.3",686.829790626984,0.457800738853617,0.121008382656169,3.78321508646556,0.000154815519892436,0.00123785685086409
"Solyc01g010970.3",34.0794885924004,-1.17453523303702,0.329053748444001,-3.56943277075874,0.000357755009728571,0.00252468725934895
"Solyc01g011040.3",1645.82958000599,0.431112489010731,0.110089639325187,3.91601327475779,9.00252931602705e-05,0.000786793492637464
"Solyc01g011340.3",1857.72539559752,0.357375430945911,0.116325180275208,3.07221041996595,0.00212479885035684,0.0111106465607102
"Solyc01g011350.3",606.246167985529,-0.406697701704286,0.147261460866158,-2.76173887799418,0.00574944406740253,0.0249785094842161
"Solyc01g014105.1",440.655366759351,-1.24364868742104,0.189660332293718,-6.55724195133783,5.48120440392553e-11,2.14233342699053e-09
"Solyc01g014140.3",96.0808516782724,-3.71273097103875,0.750107460198476,-4.94959878156175,7.43666263006552e-07,1.19093604421049e-05
"Solyc01g014250.2",157.750900568044,-3.16248414321273,0.730909239759278,-4.32678090682543,1.51304325076609e-05,0.000167814363537883
"Solyc01g014270.3",347.561242399327,-1.05371749438389,0.221324883301996,-4.76095357495842,1.92680372276326e-06,2.79236008259832e-05
